Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
64001;64460;AAST;AAST;64;E;01.01.0001;25.10.199325.10.1993;
55001;55130;ABAINVILLE;ABAINVILLE;55;E;01.01.0001;25.10.199325.10.1993;
59001;59268;ABANCOURT;ABANCOURT;59;E;01.01.0001;25.10.199319.06.1996;
60001;60220;ABANCOURT;ABANCOURT;60;E;01.01.0001;25.10.199325.10.1993;
54001;54610;ABAUCOURT;ABAUCOURT SUR SEILLE;54;E;01.01.0001;25.10.199328.10.2004;
55002;55400;ABAUCOURT HAUTECOURT;ABAUCOURT HAUTECOURT;55;E;01.01.0001;25.10.199325.10.1993;
25001;25320;ABBANS DESSOUS;ABBANS DESSOUS;25;E;01.01.0001;25.10.199325.10.1993;
25002;25440;ABBANS DESSUS;ABBANS DESSUS;25;E;01.01.0001;25.10.199325.10.1993;
44001;44170;ABBARETZ;ABBARETZ;44;E;01.01.0001;25.10.199325.10.1993;
2B937;20243;ABBAZIA;PRUNELLI DI FIUMORBO;2B;E;01.01.0001;25.10.199310.01.1994;
02001;02300;ABBECOURT;ABBECOURT;02;E;01.01.0001;25.10.199325.10.1993;
60002;60430;ABBECOURT;ABBECOURT;60;E;01.01.0001;25.10.199325.10.1993;
25003;25340;ABBENANS;ABBENANS;25;E;01.01.0001;25.10.199325.10.1993;
80001;80100;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;25.10.199309.02.1998;
80001;80101;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80102;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80103;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80104;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80105;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80106;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80107;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80108;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80109;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80132;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;09.02.199809.02.1998;
80001;80135;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;09.02.199809.02.1998;
80001;80141;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80142;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80143;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80144;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80145;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80146;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80147;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80148;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80149;ABBEVILLE;ABBEVILLE CEDEX;80;E;01.01.0001;28.05.200328.05.2003;C
80001;80580;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;09.02.199809.02.1998;
80001;80690;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;09.02.199809.02.1998;
80001;80870;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;09.02.199809.02.1998;
80001;80970;ABBEVILLE;ABBEVILLE;80;E;01.01.0001;09.02.199809.02.1998;
91001;91150;ABBEVILLE LA RIVIERE;ABBEVILLE LA RIVIERE;91;E;01.01.0001;25.10.199325.10.1993;
54002;54800;ABBEVILLE LES CONFLANS;ABBEVILLE LES CONFLANS;54;E;01.01.0001;25.10.199325.10.1993;
60003;60480;ABBEVILLE ST LUCIEN;ABBEVILLE ST LUCIEN;60;E;01.01.0001;25.10.199325.10.1993;
25004;25310;ABBEVILLERS;ABBEVILLERS;25;E;01.01.0001;25.10.199325.10.1993;
34001;34290;ABEILHAN;ABEILHAN;34;E;01.01.0001;25.10.199325.10.1993;
70001;70300;ABELCOURT;ABELCOURT;70;E;01.01.0001;25.10.199325.10.1993;
64002;64160;ABERE;ABERE;64;E;01.01.0001;25.10.199325.10.1993;
39001;39500;ABERGEMENT LA RONCE;ABERGEMENT LA RONCE;39;E;01.01.0001;25.10.199325.10.1993;
39002;39600;ABERGEMENT LE GRAND;ABERGEMENT LE GRAND;39;E;01.01.0001;25.10.199325.10.1993;
39003;39800;ABERGEMENT LE PETIT;ABERGEMENT LE PETIT;39;E;01.01.0001;25.10.199325.10.1993;
39004;39110;ABERGEMENT LES THESY;ABERGEMENT LES THESY;39;E;01.01.0001;25.10.199325.10.1993;
39005;39120;ABERGEMENT ST JEAN;NEUBLANS ABERGEMENT;39;E;01.01.0001;25.10.199325.10.1993;
29931;29870;ABERWRACH;LANDEDA;29;E;01.01.0001;25.10.199325.10.1993;
64003;64150;ABIDOS;ABIDOS;64;E;01.01.0001;25.10.199325.10.1993;
37001;37160;ABILLY;ABILLY;37;E;01.01.0001;25.10.199325.10.1993;
64004;64390;ABITAIN;ABITAIN;64;E;01.01.0001;25.10.199325.10.1993;
24001;24300;ABJAT SUR BANDIAT;ABJAT SUR BANDIAT;24;E;01.01.0001;25.10.199325.10.1993;
62001;62153;ABLAIN ST NAZAIRE;ABLAIN ST NAZAIRE;62;E;01.01.0001;25.10.199325.10.1993;
80002;80320;ABLAINCOURT PRESSOIR;ABLAINCOURT PRESSOIR;80;E;01.01.0001;25.10.199325.10.1993;
62002;62116;ABLAINZEVELLE;ABLAINZEVELLE;62;E;01.01.0001;25.10.199325.10.1993;
51001;51240;ABLANCOURT;ABLANCOURT;51;E;01.01.0001;25.10.199325.10.1993;
95002;95450;ABLEIGES;ABLEIGES;95;E;01.01.0001;25.10.199325.10.1993;
78003;78660;ABLIS;ABLIS;78;E;01.01.0001;25.10.199325.10.1993;
14001;14600;ABLON;ABLON;14;E;01.01.0001;25.10.199325.10.1993;
94001;94480;ABLON SUR SEINE;ABLON SUR SEINE;94;E;01.01.0001;25.10.199325.10.1993;
42001;42380;ABOEN;ABOEN;42;E;01.01.0001;25.10.199325.10.1993;
54003;54115;ABONCOURT;ABONCOURT;54;E;01.01.0001;25.10.199325.10.1993;
57001;57920;ABONCOURT;ABONCOURT;57;E;01.01.0001;25.10.199325.10.1993;
70002;70500;ABONCOURT GESINCOURT;ABONCOURT GESINCOURT;70;E;01.01.0001;25.10.199325.10.1993;
57002;57590;ABONCOURT SUR SEILLE;ABONCOURT SUR SEILLE;57;E;01.01.0001;25.10.199325.10.1993;
74001;74360;ABONDANCE;ABONDANCE;74;E;01.01.0001;25.10.199325.10.1993;
28001;28410;ABONDANT;ABONDANT;28;E;01.01.0001;25.10.199310.01.1994;
64005;64360;ABOS;ABOS;64;E;01.01.0001;25.10.199325.10.1993;
57003;57560;ABRESCHVILLER;ABRESCHVILLER;57;E;01.01.0001;25.10.199325.10.1993;
03001;03200;ABREST;ABREST;03;E;01.01.0001;25.10.199325.10.1993;
05001;05460;ABRIES;ABRIES;05;E;01.01.0001;25.10.199325.10.1993;
59002;59215;ABSCON;ABSCON;59;E;01.01.0001;25.10.199325.10.1993;
16001;16500;ABZAC;ABZAC;16;E;01.01.0001;25.10.199325.10.1993;
33001;33230;ABZAC;ABZAC;33;E;01.01.0001;25.10.199325.10.1993;
25005;25250;ACCOLANS;ACCOLANS;25;E;01.01.0001;25.10.199325.10.1993;
