NAF rév. 2, 2008 - Niveau 4 - Liste des classes;;Statut des activités par classe NAF;REMARQUES;Potentiel marché;NOMBRE ;;;;REPARTITION ;;;
Code;Libellé;;;;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés
01.11;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;R;;144027;130873;143652;143893;143983;0,908669902;0,997396322;0,999069619;0,999694502
01.12;Culture du riz;R;;98;57;91;98;98;0,581632653;0,928571429;1;1
01.13;Culture de légumes, de melons, de racines et de tubercules;R;;18406;14831;17705;18044;18263;0,805769858;0,961914593;0,9803325;0,992230794
01.14;Culture de la canne à sucre;R;;5264;5017;5235;5247;5258;0,953077508;0,994490881;0,996770517;0,998860182
01.15;Culture du tabac;R;;247;207;246;247;247;0,83805668;0,995951417;1;1
01.16;Culture de plantes à fibres;R;;15;11;15;15;15;0,733333333;1;1;1
01.19;Autres cultures non permanentes;R;;5590;4154;5262;5420;5527;0,743112701;0,941323792;0,969588551;0,988729875
01.21;Culture de la vigne;R;;85758;68084;83909;85047;85587;0,79390844;0,978439329;0,991709228;0,998006017
01.22;Culture de fruits tropicaux et subtropicaux;R;;2365;2100;2248;2279;2297;0,88794926;0,950528541;0,963636364;0,971247357
01.23;Culture d'agrumes;R;;101;68;84;89;98;0,673267327;0,831683168;0,881188119;0,97029703
01.24;Culture de fruits à pépins et à noyau;R;;15379;11865;14782;15105;15287;0,7715066;0,961180831;0,982183497;0,994017817
01.25;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;R;;1282;1162;1271;1277;1281;0,906396256;0,991419657;0,996099844;0,999219969
01.26;Culture de fruits oléagineux;R;;692;639;689;692;692;0,923410405;0,99566474;1;1
01.27;Culture de plantes à boissons;R;;12;11;11;12;12;0,916666667;0,916666667;1;1
01.28;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;R;;589;570;584;588;589;0,967741935;0,991511036;0,998302207;1
01.29;Autres cultures permanentes;R;;89;82;86;86;88;0,921348315;0,966292135;0,966292135;0,988764045
01.30;Reproduction de plantes;R;;3617;2498;3340;3486;3554;0,690627592;0,923417197;0,96378214;0,98258225
01.41;Élevage de vaches laitières;R;;67376;62117;67336;67357;67371;0,9219455;0,999406317;0,999718;0,99992579
01.42;Élevage d'autres bovins et de buffles;R;;78000;73803;77967;77991;77996;0,946192308;0,999576923;0,999884615;0,999948718
01.43;Élevage de chevaux et d'autres équidés;R;;14223;12782;14130;14192;14215;0,898685228;0,993461295;0,997820432;0,999437531
01.44;Élevage de chameaux et d'autres camélidés;R;;29;29;29;29;29;1;1;1;1
01.45;Élevage d'ovins et de caprins;R;;23025;21906;22997;23015;23023;0,951400651;0,998783931;0,999565689;0,999913138
01.46;Élevage de porcins;R;;7581;5374;7464;7552;7576;0,708877457;0,98456668;0,996174647;0,999340456
01.47;Élevage de volailles;R;;11939;9849;11649;11771;11863;0,824943463;0,975709858;0,98592847;0,993634308
01.49;Élevage d'autres animaux;R;;12036;11439;11978;12006;12020;0,950398804;0,995181123;0,997507478;0,998670655
01.50;Culture et élevage associés;R;;48809;42413;48692;48770;48797;0,868958594;0,997602901;0,999200967;0,999754144
