SECTION NAF26;LIBELLE NAF26;DIVISION NAF 88;LIBELLE NAF 88;GROUPE NAF 261;LIBELLE NAF 261;CLASSE NAF575;LIBELLE NAF575;CATEGORIE  NAF1342;LIBELLE NAF1342;SOUS-CATEGORIE NAF3142;LIBELLE NAF3142;comprend;CODE PACIFICA 1;CODE PACIFICA 2;CODE PACIFICA 3;LIBELE PACIFICA 1;LIBELLE PACIFICA 2;LIBELLE PACIFICA 3;ACTIVITE ELIGIBLE;CODE ASSIMILATION;LIBELLE ASSIMILATION;RDV;AVIS ASSURPRO;MOTS CLES ACTIVITE;COMMENTAIRES;RATTACHEMENT NAFA (O / N);Ne comprend pas
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.1;Blé;01.11.11;Blé dur;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.1;Blé;01.11.12;Blé, à l'exclusion du blé dur;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.1;Blé;01.11.12;Blé, à l'exclusion du blé dur;- froment commun, tendre ou semi-dur;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.1;Blé;01.11.12;Blé, à l'exclusion du blé dur;- maïs doux (01.13.39) et maïs fourrager (01.19.10);;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.1;Blé;01.11.12;Blé, à l'exclusion du blé dur;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.1;Blé;01.11.12;Blé, à l'exclusion du blé dur;- méteil;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.2;Maïs;01.11.20;Maïs;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.3;Orge, seigle et avoine;01.11.31;Orge;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.3;Orge, seigle et avoine;01.11.31;Orge;- orge de brasserie et de mouture;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.3;Orge, seigle et avoine;01.11.32;Seigle;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.3;Orge, seigle et avoine;01.11.33;Avoine;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.4;Sorgho, millet et autres céréales;01.11.41;Sorgho;;;;;;;;N;;;N;N;;;N;
A;Produits de l'agriculture, de la sylviculture et de la pêche;01;Produits de l'agriculture et de la chasse et services annexes;01.1;Cultures non permanentes;01.11;Céréales (à l'exclusion du riz), légumineuses et oléagineux;01.11.4;Sorgho, millet et autres céréales;01.11.42;Millet;;;;;;;;N;;;N;N;;;N;
